fileNam	objNam	objNum	location	objLocRating_avg	objLocRating_SD	objRating_avg	objRating_SD
3_4.png	saucepan	3	4	-59	36.4214909085282	96.5833333333333	7.54431353183752
4_4.png	toaster	4	4	-79.625	21.548636847838	99.1666666666667	1.43759057685652
5_4.png	fruit bowl	5	4	-81.6666666666667	20.9055415300983	90.4583333333333	13.5484470204768
6_4.png	tea pot	6	4	-72.75	32.2862199707553	97.0416666666667	3.86463667977556
7_4.png	knife	7	4	-66.25	39.7630481728954	99.2916666666667	1.12268279877562
8_4.png	mixer	8	4	-80.25	25.6792717965288	96.7083333333333	5.6400723990625
9_4.png	bread	9	4	-85.4166666666667	21.1108187114253	98.875	2.10802039838328
10_4.png	glass jug	10	4	-59.875	29.9435928038036	88.2916666666667	18.3850596046536
11_4.png	mug	11	4	-51.5416666666667	62.0859115795739	93.5416666666667	14.8487513504223
12_4.png	dishes	12	4	-64.9583333333333	36.3040688720516	95.2083333333333	11.0186395106958
13_4.png	towels	13	4	-77.25	21.0635941852287	18.4583333333333	75.6770137932693
14_4.png	toy	14	4	40.3333333333333	37.5002222215638	13.5833333333333	50.341997046866
15_4.png	pile of books	15	4	-53.625	38.2559635873938	3.91666666666667	41.1790804495033
16_4.png	umbrella	16	4	-16.1666666666667	35.6134337949413	-5.375	74.6037448791949
17_4.png	hat	17	4	-53.1666666666667	38.953711847097	-27.7916666666667	53.3651142289292
18_4.png	helmet	18	4	-41.2083333333333	54.366215765553	-46.8333333333333	68.3042214410403
19_4.png	calendar	19	4	-58.5416666666667	48.7845817514783	39.4583333333333	41.0759712808677
20_4.png	fan	20	4	-18.375	35.5252551011249	39.0416666666667	28.0345397084858
1_5.png	microwave	1	5	-5.95833333333333	56.1510054822411	99.25	1.16189500386223
2_5.png	kitchen roll	2	5	0.958333333333333	51.1352169905112	98.125	2.47361072119281
3_5.png	saucepan	3	5	-10	60.0943008945108	96.5833333333333	7.54431353183752
4_5.png	toaster	4	5	-62.6666666666667	47.3211545364932	99.1666666666667	1.43759057685652
5_5.png	fruit bowl	5	5	-0.583333333333333	61.3931320806055	90.4583333333333	13.5484470204768
6_5.png	tea pot	6	5	-10.4166666666667	38.7452147582984	97.0416666666667	3.86463667977556
7_5.png	knife	7	5	-66.9583333333333	24.3143047744875	99.2916666666667	1.12268279877562
8_5.png	mixer	8	5	10.875	39.0306770374279	96.7083333333333	5.6400723990625
9_5.png	bread	9	5	-50.7083333333333	42.1949098430921	98.875	2.10802039838328
10_5.png	glass jug	10	5	15.1666666666667	52.9135300907685	88.2916666666667	18.3850596046536
11_5.png	mug	11	5	-15	40.4793157056786	93.5416666666667	14.8487513504223
12_5.png	dishes	12	5	-18.9583333333333	23.0404083441823	95.2083333333333	11.0186395106958
13_5.png	towels	13	5	-13.0416666666667	51.0059841260481	18.4583333333333	75.6770137932693
